,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Broken Hill,AU,64.26,few clouds,-31.95,141.4333,Ibis Styles
375,Namie,JP,39.72,clear sky,37.4833,141.0,HOTELなみえ
376,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,The Gateway Hotel
377,Jumla,NP,41.38,clear sky,29.2747,82.1838,Amar Sandesh Guesthouse
378,Manokwari,ID,78.42,overcast clouds,-0.8667,134.0833,Hotel Arfak
385,Biltine,TD,95.76,broken clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
388,Mogadishu,SO,82.27,clear sky,2.0371,45.3438,Villa Rays Restaurant & Hotel
390,Champasak,LA,68.65,clear sky,14.75,106.0,Kiat Ngong Wetland
391,Torres,BR,75.83,light rain,-29.3353,-49.7269,Residencial Medusa
395,Skegness,GB,45.34,light rain,53.1436,0.3363,The Cedars
396,Simao,CN,58.89,clear sky,22.7886,100.9748,Marvelous Land Hotel
397,Kisoro,UG,63.21,light rain,-1.2854,29.685,Traveller's Rest
398,Goderich,CA,34.92,light snow,43.7501,-81.7165,Hotel Bedford
399,Batagay,RU,-16.19,overcast clouds,67.6333,134.6333,Киселях
400,Salinopolis,BR,80.47,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
401,Asyut,EG,73.58,scattered clouds,27.181,31.1837,فندق الحسين
403,Teguise,ES,64.62,few clouds,29.0605,-13.564,Finca Las Laderas
405,Saint Simons,US,84.02,haze,31.1352,-81.3901,Flying Barn Bed and Breakfast
406,Severo-Yeniseyskiy,RU,10.35,overcast clouds,60.3725,93.0408,Актолик
409,Cochrane,CA,1.62,clear sky,51.1834,-114.4687,Rockyview Hotel
410,Slave Lake,CA,3.18,light snow,55.2834,-114.769,Northwest Inn
411,Tanete,ID,75.33,overcast clouds,-3.9443,119.7848,Hotel grand Sidny
413,Trincomalee,LK,80.89,clear sky,8.5711,81.2335,Silver Star Inn
414,Grindavik,IS,28.35,scattered clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
415,Belmopan,BZ,77.38,scattered clouds,17.25,-88.7667,Bull Frog Inn
416,Gunjur,GM,89.67,clear sky,13.2019,-16.7339,Footsteps Eco Lodge
418,The Pas,CA,-11.18,clear sky,53.8251,-101.2541,Wescana Inn
421,Shilovo,RU,22.1,scattered clouds,54.3204,40.874,мечта
422,Samana,DO,84.42,few clouds,19.2056,-69.3369,Hotel Cotubanamá
426,Ulaangom,MN,10.08,broken clouds,49.9811,92.0667,АНДУУД
428,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
429,Asgabat,TM,73.26,few clouds,37.95,58.3833,Kuwwat Myhmanhanasy
430,Moose Factory,CA,14.0,clear sky,51.2585,-80.6094,Cree Village Ecolodge
432,Fairbanks,US,10.09,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel
433,Fuchu,JP,50.5,clear sky,35.6667,139.4833,HOTEL松本屋1725
434,Pocone,BR,98.71,clear sky,-16.2567,-56.6228,Andirah
435,Hervey Bay,AU,74.77,clear sky,-25.2986,152.8535,Hervey Bay Hotel
437,Neiafu,TO,81.28,light rain,-18.65,-173.9833,Port Wine Guest House
438,Port Lincoln,AU,62.15,broken clouds,-34.7333,135.8667,Boston Hotel
439,Mao,ES,57.76,few clouds,39.8885,4.2658,Eurohotel
441,Svarstad,NO,34.48,few clouds,59.399,9.9698,Gavelstad Gjestegård
443,Kurtamysh,RU,23.02,clear sky,54.9103,64.4319,Загородный Дом Ласточкино Гнездо
444,Bolshaya Rechka,RU,26.87,light snow,51.9503,104.7355,Белый ключ
445,Rocha,UY,88.77,clear sky,-34.4833,-54.3333,Hotel Municipal
447,Ferzikovo,RU,28.04,overcast clouds,54.5191,36.7567,Гостиница
451,Ruwi,OM,78.49,clear sky,23.5996,58.5507,Sheraton Oman
452,Verkhoyansk,RU,-22.83,overcast clouds,67.5447,133.385,Полюс холода
455,Linhares,BR,88.65,overcast clouds,-19.3911,-40.0722,Days Inn Linhares
456,Am Timan,TD,101.77,overcast clouds,11.0297,20.2827,Nimla
457,Marstal,DK,40.91,broken clouds,54.8562,10.5173,Hotel Marstal
458,Catuday,PH,73.83,clear sky,16.2923,119.8062,Nina Anchors Inn
460,Dalnerechensk,RU,31.86,overcast clouds,45.9339,133.7225,Центральная
461,Cap Malheureux,MU,76.46,moderate rain,-19.9842,57.6142,Cape Garden
463,Aigle,CH,51.76,scattered clouds,46.3181,6.9646,Hôtel du Nord
465,Heihe,CN,19.98,scattered clouds,50.2441,127.4902,Санкт-Петербург
466,Jinotega,NI,71.08,scattered clouds,13.0917,-86.0018,Hotel Central
468,Eureka,US,39.92,moderate rain,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
469,Newton,US,48.06,clear sky,42.337,-71.2092,Four Points by Sheraton Boston Newton
470,Terrace,CA,15.71,few clouds,54.5163,-128.6035,Sandman Hotel Terrace
471,Launceston,AU,54.81,heavy intensity shower rain,-41.45,147.1667,Hotel Charles
472,Bom Jardim,BR,92.1,overcast clouds,-7.7958,-35.5872,Hotel Breno
474,Saurimo,AO,80.67,broken clouds,-9.6608,20.3916,Complexo Hoteleiro de Saurimo
475,Lompoc,US,47.84,broken clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
476,Akhaldaba,GE,37.96,overcast clouds,41.654,42.1516,Shuakhevi Hotel & Restaurant
477,Shiraz,IR,60.24,clear sky,29.6036,52.5388,هتل نصیرالملک
478,Lishui,CN,52.25,few clouds,28.4604,119.9103,丽水华侨开元名都大酒店
480,Hua Hin,TH,76.14,clear sky,12.5707,99.9588,Anchan
481,Talnakh,RU,-5.8,overcast clouds,69.4865,88.3972,Талнах
483,Marystown,CA,30.47,light snow,47.1666,-55.1483,Marystown Hotel & Convention Centre
484,Valparaiso,CL,66.99,fog,-33.0393,-71.6273,Ibis Hotel
485,Linden,GY,85.91,overcast clouds,6.0,-58.3,Watooka Guest House
486,Craig,US,26.22,overcast clouds,40.5153,-107.5464,Quality Inn & Suites
488,Okha,RU,-6.3,overcast clouds,53.5739,142.9478,Сфера
490,Batemans Bay,AU,60.39,few clouds,-35.7167,150.1833,Esplanade Hotel
492,North Bend,US,39.85,scattered clouds,43.4065,-124.2243,The Mill Casino Hotel
493,Lubumbashi,CD,66.04,light rain,-11.6609,27.4794,Hôtel de Ville de Lubumbashi
494,Victor Harbor,AU,56.68,few clouds,-35.5667,138.6167,Hotel Victor
495,Petropavlovsk-Kamchatskiy,RU,10.99,scattered clouds,53.0452,158.6483,ООО Постоялый двор
497,Vikhorevka,RU,15.39,overcast clouds,56.1201,101.1636,Сосновые родники
498,Opochka,RU,25.63,overcast clouds,56.7105,28.6617,Опочка
