City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Xinqing,CN,48.2333,129.5,17.13,98,55,2.13,broken clouds
80,Neryungri,RU,56.6709,124.6491,-21.73,95,47,4.12,scattered clouds
81,Torbay,CA,47.6666,-52.7314,32.58,83,100,10.36,light shower snow
82,Morondava,MG,-20.2833,44.2833,80.76,80,100,19.04,light rain
83,Jalu,LY,29.0331,21.5482,67.3,29,48,8.19,scattered clouds
84,Qaanaaq,GL,77.484,-69.3632,16.61,92,92,0.92,overcast clouds
85,Provideniya,RU,64.3833,-173.3,24.06,97,100,4.43,light snow
86,Coquimbo,CL,-29.9533,-71.3436,67.73,77,75,10.36,broken clouds
87,Saskylakh,RU,71.9167,114.0833,-13.52,98,100,3.44,overcast clouds
88,Inta,RU,66.0317,60.1659,-16.78,100,56,4.88,broken clouds
89,Hithadhoo,MV,-0.6,73.0833,82.4,66,7,1.68,clear sky
90,Mahebourg,MU,-20.4081,57.7,79.09,83,75,1.14,light rain
91,Luderitz,NA,-26.6481,15.1594,70.79,61,0,33.06,clear sky
92,Kapaa,US,22.0752,-159.319,70.12,92,75,5.75,light rain
93,Ostrovnoy,RU,68.0531,39.5131,11.86,93,100,9.6,overcast clouds
94,Ginir,ET,7.1333,40.7,68.61,30,79,7.54,broken clouds
95,Sumenep,ID,-7.0167,113.8667,78.12,85,94,0.94,overcast clouds
96,Longyearbyen,SJ,78.2186,15.6401,3.04,55,75,13.8,broken clouds
97,Jamestown,US,42.097,-79.2353,35.71,93,100,0.0,overcast clouds
98,Pinheiro Machado,BR,-31.5783,-53.3811,78.04,52,51,9.78,broken clouds
99,Hilo,US,19.7297,-155.09,73.27,77,0,5.75,clear sky
100,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,93,20,18.41,few clouds
101,Georgetown,MY,5.4112,100.3354,82.35,76,20,3.44,few clouds
102,Butaritari,KI,3.0707,172.7902,79.77,76,44,6.98,moderate rain
103,Hanna,CA,51.6334,-111.9018,-1.14,81,100,11.99,overcast clouds
104,Isangel,VU,-19.55,169.2667,77.47,85,37,11.7,scattered clouds
105,Bredasdorp,ZA,-34.5322,20.0403,66.27,71,100,11.5,overcast clouds
106,Khromtau,KZ,50.2503,58.4347,31.75,99,100,6.87,overcast clouds
107,Katsuura,JP,35.1333,140.3,49.95,80,3,5.77,clear sky
108,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,75,28.79,light intensity shower rain
109,La Reforma,MX,25.0833,-108.05,70.48,26,11,0.94,few clouds
110,Sola,VU,-13.8833,167.55,81.16,75,76,10.0,broken clouds
111,Portland,US,45.5234,-122.6762,39.45,93,100,16.11,overcast clouds
112,Pacific Grove,US,36.6177,-121.9166,43.43,84,100,8.05,overcast clouds
113,Grand Gaube,MU,-20.0064,57.6608,79.2,87,100,1.99,moderate rain
114,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,3.44,broken clouds
115,Birjand,IR,32.8663,59.2211,63.07,16,20,4.61,few clouds
116,Saint Anthony,US,45.0205,-93.218,34.25,94,100,10.36,mist
117,San Ignacio,BZ,17.1561,-89.0714,77.14,78,0,4.61,clear sky
118,Dryden,CA,49.7833,-92.7503,16.09,67,0,11.5,clear sky
119,Vardo,NO,70.3705,31.1107,17.58,53,97,12.66,overcast clouds
120,Mitsamiouli,KM,-11.3847,43.2844,82.36,71,95,10.76,overcast clouds
121,Teya,RU,60.3778,92.6267,14.07,96,100,4.72,overcast clouds
122,Tasiilaq,GL,65.6145,-37.6368,23.16,80,22,9.51,few clouds
123,Saldanha,ZA,-33.0117,17.9442,73.45,73,68,25.97,light rain
124,Birin,NP,26.8865,88.0718,57.69,37,26,5.26,scattered clouds
125,Nuuk,GL,64.1835,-51.7216,39.81,48,0,2.3,clear sky
126,Cody,US,44.5263,-109.0565,20.19,91,100,1.01,overcast clouds
127,Lavrentiya,RU,65.5833,-171.0,31.44,99,100,6.04,snow
128,Margate,GB,51.3813,1.3862,47.89,75,100,3.0,light rain
129,East London,ZA,-33.0153,27.9116,74.34,78,0,23.02,clear sky
130,Pokaran,IN,26.9167,71.9167,79.68,18,20,8.1,few clouds
131,Leningradskiy,RU,69.3833,178.4167,-26.82,99,67,4.52,broken clouds
132,Srivardhan,IN,18.0333,73.0167,80.37,57,46,5.01,scattered clouds
133,Ushtobe,KZ,45.2514,77.9838,46.56,85,100,6.44,light rain
134,Vaitape,PF,-16.5167,-151.75,80.08,76,100,10.94,moderate rain
135,Chokurdakh,RU,70.6333,147.9167,-48.19,100,76,2.59,broken clouds
136,San Jose,US,37.3394,-121.895,43.9,83,75,9.22,broken clouds
137,Dwarahat,IN,29.7833,79.4333,53.15,38,1,2.51,clear sky
138,Sur,OM,22.5667,59.5289,76.32,68,0,1.07,clear sky
139,San Cristobal,VE,7.7669,-72.225,77.18,70,100,5.44,overcast clouds
140,Pangnirtung,CA,66.1451,-65.7125,30.2,86,75,3.44,broken clouds
141,Maridi,SS,4.9158,29.4742,89.87,25,71,3.11,broken clouds
142,Cabo San Lucas,MX,22.8909,-109.9124,71.51,50,0,3.44,clear sky
143,Tabuk,PH,17.4189,121.4443,65.53,81,79,5.3,broken clouds
144,Port Hawkesbury,CA,45.6169,-61.3485,32.88,88,100,14.0,snow
145,Itarema,BR,-2.9248,-39.9167,84.25,70,93,12.82,overcast clouds
146,Ouadda,CF,8.0777,22.4007,99.27,11,54,3.91,broken clouds
147,Ornskoldsvik,SE,63.2909,18.7153,25.75,50,0,2.3,clear sky
148,Andilamena,MG,-17.0167,48.5833,67.6,91,99,9.01,overcast clouds
149,Husavik,IS,66.0449,-17.3389,22.51,66,100,12.66,overcast clouds
150,Nakuru,KE,-0.2833,36.0667,73.72,29,78,13.94,broken clouds
151,Lagoa,PT,39.05,-27.9833,60.75,87,92,26.93,overcast clouds
152,Porto Novo,BJ,6.4965,2.6036,89.42,65,95,11.88,overcast clouds
153,Hanstholm,DK,57.1167,8.6167,35.24,47,100,6.6,overcast clouds
154,Namibe,AO,-15.1961,12.1522,75.25,66,38,10.36,scattered clouds
155,Pavlivka,UA,49.4414,28.4596,33.19,80,99,5.55,overcast clouds
156,Skjervoy,NO,70.0311,20.9714,14.0,60,100,11.9,overcast clouds
157,Kendal,GB,54.3268,-2.7476,43.59,87,100,11.32,overcast clouds
158,Nantucket,US,41.2835,-70.0995,46.54,57,0,27.63,clear sky
159,Zaysan,KZ,47.4667,84.8667,33.53,92,100,1.68,overcast clouds
160,Bacolod,PH,10.6667,122.95,76.05,85,3,12.75,clear sky
161,Hobyo,SO,5.3505,48.5268,78.98,73,9,16.62,clear sky
162,Gazojak,TM,41.1875,61.4036,65.61,29,56,12.28,broken clouds
163,Bealanana,MG,-14.55,48.7333,64.42,91,99,3.27,overcast clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,20,3.44,few clouds
165,Guerrero Negro,MX,27.9769,-114.0611,58.55,67,100,17.58,overcast clouds
166,Honningsvag,NO,70.9821,25.9704,19.15,73,47,14.97,scattered clouds
167,Cherskiy,RU,68.75,161.3,-37.16,99,30,3.71,scattered clouds
168,Castro,BR,-24.7911,-50.0119,74.59,73,14,7.23,few clouds
169,Tuatapere,NZ,-46.1333,167.6833,47.26,93,62,5.3,broken clouds
170,Celestun,MX,20.8667,-90.4,83.05,53,8,9.19,clear sky
171,Hamilton,US,39.1834,-84.5333,63.0,49,75,11.5,broken clouds
172,College,US,64.8569,-147.8028,9.07,82,75,0.0,broken clouds
173,Aklavik,CA,68.2191,-135.0107,-25.6,75,0,3.44,clear sky
174,Kavieng,PG,-2.5744,150.7967,81.45,72,96,6.78,overcast clouds
175,Lagunas,PE,-5.2269,-75.6753,74.12,95,100,1.77,light rain
176,Ayan,RU,56.45,138.1667,8.91,82,100,4.5,overcast clouds
177,Machico,PT,32.7,-16.7667,70.0,90,40,21.85,moderate rain
178,Nome,US,64.5011,-165.4064,32.16,100,100,17.27,snow
179,Blackfoot,US,43.1905,-112.345,25.61,90,92,4.79,overcast clouds
180,Leeton,AU,-34.5667,146.4,59.9,37,17,3.98,few clouds
181,Thompson,CA,55.7435,-97.8558,-14.64,76,20,5.75,few clouds
182,Chato,TZ,-2.6378,31.7669,74.1,55,29,4.07,scattered clouds
